# NZ6 dispatch trace (NOVAZ_SMOKE_TRACE_NZ6)
# regenerate: make -C examples/novaz capture-z6-trace PROJECT=zork-zero
# nz6_entry=$2002 zvm_erase_line=$E6DF zvm_set_text_style=$E32F zvm_buffer_mode=$E386
# <seq> <id> <opname> count=<n> ops=<op0>,<op1>,<op2>,<op3>  (ops hex; id '--' = ROM-side hook)
142 07 pull count=0 ops=0000,0000,7D62,7D50
143 38 push_stack count=2 ops=002C,696C,7D62,7D50
144 38 push_stack count=2 ops=0001,69C0,BB2D,0000
145 07 pull count=1 ops=696C,696C,BB2D,0000
146 07 pull count=0 ops=0000,0000,BB2D,0000
147 38 push_stack count=2 ops=002C,696C,BB2D,0000
148 38 push_stack count=2 ops=002D,696C,0004,0000
149 07 pull count=1 ops=696C,696C,0004,0000
150 07 pull count=0 ops=0000,0000,0004,0000
151 38 push_stack count=2 ops=002D,696C,0004,0000
152 35 pop_stack count=2 ops=0003,696C,BB3E,0000
153 07 pull count=1 ops=69C0,0002,BB3E,0000
154 07 pull count=1 ops=69C0,0002,BB3E,0000
155 07 pull count=1 ops=69C0,0002,BB3E,0000
156 38 push_stack count=2 ops=0001,69C0,69EC,0000
157 07 pull count=1 ops=696C,696C,69EC,0000
158 07 pull count=0 ops=0000,0000,69EC,0000
159 38 push_stack count=2 ops=0007,696C,69EC,0000
160 38 push_stack count=2 ops=0026,696C,0005,0000
161 07 pull count=1 ops=696C,696C,0005,0000
162 07 pull count=0 ops=0000,0000,0005,0000
163 38 push_stack count=2 ops=0026,696C,0005,0000
164 38 push_stack count=2 ops=0001,69C0,BADC,0000
165 07 pull count=1 ops=696C,696C,BADC,0000
166 07 pull count=0 ops=0000,0000,BADC,0000
167 38 push_stack count=2 ops=0026,696C,BADC,0000
168 38 push_stack count=2 ops=002E,696C,0006,0000
169 07 pull count=1 ops=696C,696C,0006,0000
170 07 pull count=0 ops=0000,0000,0006,0000
171 38 push_stack count=2 ops=002E,696C,0006,0000
172 35 pop_stack count=2 ops=0002,696C,BB48,0000
173 07 pull count=1 ops=69C0,0002,BB48,0000
174 07 pull count=1 ops=69C0,0002,BB48,0000
175 38 push_stack count=2 ops=0001,69C0,0069,0084
176 07 pull count=1 ops=696C,696C,0069,0084
177 07 pull count=0 ops=0000,0000,0069,0084
178 38 push_stack count=2 ops=0007,696C,0069,0084
179 38 push_stack count=2 ops=0028,696C,0003,0084
180 07 pull count=1 ops=696C,696C,0003,0084
181 07 pull count=0 ops=0000,0000,0003,0084
182 38 push_stack count=2 ops=0028,696C,0003,0084
183 38 push_stack count=2 ops=0001,69C0,BAFB,0000
184 07 pull count=1 ops=696C,696C,BAFB,0000
185 07 pull count=0 ops=0000,0000,BAFB,0000
186 38 push_stack count=2 ops=0028,696C,BAFB,0000
187 38 push_stack count=2 ops=002B,696C,0004,0000
188 07 pull count=1 ops=696C,696C,0004,0000
189 07 pull count=0 ops=0000,0000,0004,0000
190 38 push_stack count=2 ops=002B,696C,0004,0000
191 35 pop_stack count=2 ops=0003,696C,BB20,0000
192 07 pull count=1 ops=69C0,0003,BB20,0000
193 35 pop_stack count=2 ops=0002,69C0,BB20,0000
194 38 push_stack count=2 ops=6DA9,69C0,BB20,0000
195 07 pull count=1 ops=696C,696C,BB20,0000
196 07 pull count=0 ops=0000,0000,BB20,0000
197 38 push_stack count=2 ops=0001,696C,BB20,0000
198 38 push_stack count=2 ops=0008,696C,0001,0000
199 07 pull count=1 ops=696C,696C,0001,0000
200 07 pull count=0 ops=0000,0000,0001,0000
201 38 push_stack count=2 ops=0008,696C,0001,0000
202 07 pull count=1 ops=69C0,0080,B84B,0000
203 -- set_text_style count=1 ops=0002,000D,00B9,00B3
204 09 set_text_style count=1 ops=0002,000D,00B9,00B3
205 -- set_text_style count=1 ops=0000,0007,00B9,00B3
206 09 set_text_style count=1 ops=0000,0007,00B9,00B3
207 0A cr_newline count=0 ops=0000,0007,00B9,00B3
208 26 picture_data count=2 ops=00D8,710F,00B9,00B3
209 33 get_wind_prop count=2 ops=0000,0002,00B9,00B3
210 33 get_wind_prop count=2 ops=0000,0003,00B9,00B3
211 33 get_wind_prop count=2 ops=0000,0004,00B9,00B3
212 33 get_wind_prop count=2 ops=0000,0004,00B9,00B3
213 33 get_wind_prop count=2 ops=0000,0004,0009,000A
214 25 draw_picture count=3 ops=00D8,001B,0001,000A
215 28 set_margins count=2 ops=0007,0000,0009,000A
216 39 put_wind_prop count=3 ops=0000,0009,0005,000A
217 39 put_wind_prop count=3 ops=0000,0008,384B,000A
218 0A cr_newline count=0 ops=0001,0001,0003,0084
